result/io_traces.ns103.oracleGeneral.bin                  S3FIFO-0.1000-2 cache size     8693, 14600000 req, miss ratio 0.8302, byte miss ratio 0.8302
result/io_traces.ns103.oracleGeneral.bin                  S5FIFO-0.1000-2 cache size  1738696, 14600000 req, miss ratio 0.7064, byte miss ratio 0.7064
result/io_traces.ns103.oracleGeneral.bin                  S5FIFO-0.1000-2 cache size  3477392, 14600000 req, miss ratio 0.6515, byte miss ratio 0.6515
result/io_traces.ns103.oracleGeneral.bin                  S5FIFO-0.1000-2 cache size  6954784, 14600000 req, miss ratio 0.6036, byte miss ratio 0.6036
result/io_traces.ns103.oracleGeneral.bin                             FIFO cache size     8693, 14600000 req, miss ratio 0.8324, byte miss ratio 0.8324
result/io_traces.ns103.oracleGeneral.bin                             FIFO cache size    26080, 14600000 req, miss ratio 0.8283, byte miss ratio 0.8283
result/io_traces.ns103.oracleGeneral.bin                             FIFO cache size    86934, 14600000 req, miss ratio 0.8117, byte miss ratio 0.8117
result/io_traces.ns103.oracleGeneral.bin                             FIFO cache size   260804, 14600000 req, miss ratio 0.7831, byte miss ratio 0.7831
result/io_traces.ns103.oracleGeneral.bin                             FIFO cache size   869348, 14600000 req, miss ratio 0.7540, byte miss ratio 0.7540
result/io_traces.ns103.oracleGeneral.bin                             FIFO cache size  1738696, 14600000 req, miss ratio 0.7271, byte miss ratio 0.7271
result/io_traces.ns103.oracleGeneral.bin                             FIFO cache size  3477392, 14600000 req, miss ratio 0.6617, byte miss ratio 0.6617
result/io_traces.ns103.oracleGeneral.bin                             FIFO cache size  6954784, 14600000 req, miss ratio 0.6076, byte miss ratio 0.6076
result/io_traces.ns103.oracleGeneral.bin                              LRU cache size     8693, 14600000 req, miss ratio 0.8312, byte miss ratio 0.8312
result/io_traces.ns103.oracleGeneral.bin                              LRU cache size    26080, 14600000 req, miss ratio 0.8278, byte miss ratio 0.8278
result/io_traces.ns103.oracleGeneral.bin                              LRU cache size    86934, 14600000 req, miss ratio 0.8084, byte miss ratio 0.8084
result/io_traces.ns103.oracleGeneral.bin                              LRU cache size   260804, 14600000 req, miss ratio 0.7698, byte miss ratio 0.7698
result/io_traces.ns103.oracleGeneral.bin                              LRU cache size   869348, 14600000 req, miss ratio 0.7356, byte miss ratio 0.7356
result/io_traces.ns103.oracleGeneral.bin                              LRU cache size  1738696, 14600000 req, miss ratio 0.7159, byte miss ratio 0.7159
result/io_traces.ns103.oracleGeneral.bin                              LRU cache size  3477392, 14600000 req, miss ratio 0.6532, byte miss ratio 0.6532
result/io_traces.ns103.oracleGeneral.bin                              LRU cache size  6954784, 14600000 req, miss ratio 0.6034, byte miss ratio 0.6034
result/io_traces.ns103.oracleGeneral.bin                 S3FIFOd-Clock2-1 cache size     8693, 14600000 req, miss ratio 0.8312, byte miss ratio 0.8312
result/io_traces.ns103.oracleGeneral.bin                 S3FIFOd-Clock2-1 cache size    26080, 14600000 req, miss ratio 0.8254, byte miss ratio 0.8254
result/io_traces.ns103.oracleGeneral.bin                 S3FIFOd-Clock2-1 cache size    86934, 14600000 req, miss ratio 0.7499, byte miss ratio 0.7499
result/io_traces.ns103.oracleGeneral.bin                 S3FIFOd-Clock2-1 cache size   260804, 14600000 req, miss ratio 0.7347, byte miss ratio 0.7347
result/io_traces.ns103.oracleGeneral.bin                 S3FIFOd-Clock2-1 cache size   869348, 14600000 req, miss ratio 0.7145, byte miss ratio 0.7145
result/io_traces.ns103.oracleGeneral.bin                 S3FIFOd-Clock2-1 cache size  1738696, 14600000 req, miss ratio 0.6956, byte miss ratio 0.6956
result/io_traces.ns103.oracleGeneral.bin                 S3FIFOd-Clock2-1 cache size  3477392, 14600000 req, miss ratio 0.6502, byte miss ratio 0.6502
result/io_traces.ns103.oracleGeneral.bin                 S3FIFOd-Clock2-1 cache size  6954784, 14600000 req, miss ratio 0.6026, byte miss ratio 0.6026
result/io_traces.ns103.oracleGeneral.bin                S3FIFOd2-Clock2-1 cache size     8693, 14600000 req, miss ratio 0.8312, byte miss ratio 0.8312
result/io_traces.ns103.oracleGeneral.bin                S3FIFOd2-Clock2-1 cache size    26080, 14600000 req, miss ratio 0.8254, byte miss ratio 0.8254
result/io_traces.ns103.oracleGeneral.bin                S3FIFOd2-Clock2-1 cache size    86934, 14600000 req, miss ratio 0.7502, byte miss ratio 0.7502
result/io_traces.ns103.oracleGeneral.bin                S3FIFOd2-Clock2-1 cache size   260804, 14600000 req, miss ratio 0.7347, byte miss ratio 0.7347
result/io_traces.ns103.oracleGeneral.bin                S3FIFOd2-Clock2-1 cache size   869348, 14600000 req, miss ratio 0.7149, byte miss ratio 0.7149
result/io_traces.ns103.oracleGeneral.bin                S3FIFOd2-Clock2-1 cache size  1738696, 14600000 req, miss ratio 0.6957, byte miss ratio 0.6957
result/io_traces.ns103.oracleGeneral.bin                S3FIFOd2-Clock2-1 cache size  3477392, 14600000 req, miss ratio 0.6502, byte miss ratio 0.6502
result/io_traces.ns103.oracleGeneral.bin                S3FIFOd2-Clock2-1 cache size  6954784, 14600000 req, miss ratio 0.6026, byte miss ratio 0.6026
result/io_traces.ns103.oracleGeneral.bin                  S4FIFO-0.1000-2 cache size     8693, 14600000 req, miss ratio 0.8302, byte miss ratio 0.8302
result/io_traces.ns103.oracleGeneral.bin                  S4FIFO-0.1000-2 cache size    26080, 14600000 req, miss ratio 0.8154, byte miss ratio 0.8154
result/io_traces.ns103.oracleGeneral.bin                  S4FIFO-0.1000-2 cache size    86934, 14600000 req, miss ratio 0.7460, byte miss ratio 0.7460
result/io_traces.ns103.oracleGeneral.bin                  S4FIFO-0.1000-2 cache size   260804, 14600000 req, miss ratio 0.7330, byte miss ratio 0.7330
result/io_traces.ns103.oracleGeneral.bin                  S4FIFO-0.1000-2 cache size   869348, 14600000 req, miss ratio 0.7292, byte miss ratio 0.7292
result/io_traces.ns103.oracleGeneral.bin                  S4FIFO-0.1000-2 cache size  1738696, 14600000 req, miss ratio 0.7073, byte miss ratio 0.7073
result/io_traces.ns103.oracleGeneral.bin                  S4FIFO-0.1000-2 cache size  3477392, 14600000 req, miss ratio 0.6515, byte miss ratio 0.6515
result/io_traces.ns103.oracleGeneral.bin                  S4FIFO-0.1000-2 cache size  6954784, 14600000 req, miss ratio 0.6036, byte miss ratio 0.6036
result/io_traces.ns103.oracleGeneral.bin                S3FIFOd3-Clock2-1 cache size     8693, 14600000 req, miss ratio 0.8312, byte miss ratio 0.8312
result/io_traces.ns103.oracleGeneral.bin                S3FIFOd3-Clock2-1 cache size    26080, 14600000 req, miss ratio 0.8254, byte miss ratio 0.8254
result/io_traces.ns103.oracleGeneral.bin                S3FIFOd3-Clock2-1 cache size    86934, 14600000 req, miss ratio 0.7502, byte miss ratio 0.7502
result/io_traces.ns103.oracleGeneral.bin                S3FIFOd3-Clock2-1 cache size   260804, 14600000 req, miss ratio 0.7347, byte miss ratio 0.7347
result/io_traces.ns103.oracleGeneral.bin                S3FIFOd3-Clock2-1 cache size   869348, 14600000 req, miss ratio 0.7150, byte miss ratio 0.7150
result/io_traces.ns103.oracleGeneral.bin                S3FIFOd3-Clock2-1 cache size  1738696, 14600000 req, miss ratio 0.6957, byte miss ratio 0.6957
result/io_traces.ns103.oracleGeneral.bin                S3FIFOd3-Clock2-1 cache size  3477392, 14600000 req, miss ratio 0.6502, byte miss ratio 0.6502
result/io_traces.ns103.oracleGeneral.bin                S3FIFOd3-Clock2-1 cache size  6954784, 14600000 req, miss ratio 0.6026, byte miss ratio 0.6026
result/io_traces.ns103.oracleGeneral.bin             S3LFU-lfu-1-0.1000-1 cache size     8693, 14600000 req, miss ratio 0.8616, byte miss ratio 0.8616
result/io_traces.ns103.oracleGeneral.bin             S3LFU-lfu-1-0.1000-1 cache size    26080, 14600000 req, miss ratio 0.8483, byte miss ratio 0.8483
result/io_traces.ns103.oracleGeneral.bin             S3LFU-lfu-1-0.1000-1 cache size    86934, 14600000 req, miss ratio 0.7639, byte miss ratio 0.7639
result/io_traces.ns103.oracleGeneral.bin             S3LFU-lfu-1-0.1000-1 cache size   260804, 14600000 req, miss ratio 0.7309, byte miss ratio 0.7309
result/io_traces.ns103.oracleGeneral.bin             S3LFU-lfu-1-0.1000-1 cache size   869348, 14600000 req, miss ratio 0.7150, byte miss ratio 0.7150
result/io_traces.ns103.oracleGeneral.bin             S3LFU-lfu-1-0.1000-1 cache size  1738696, 14600000 req, miss ratio 0.6956, byte miss ratio 0.6956
result/io_traces.ns103.oracleGeneral.bin             S3LFU-lfu-1-0.1000-1 cache size  3477392, 14600000 req, miss ratio 0.6502, byte miss ratio 0.6502
result/io_traces.ns103.oracleGeneral.bin             S3LFU-lfu-1-0.1000-1 cache size  6954784, 14600000 req, miss ratio 0.6026, byte miss ratio 0.6026
result/io_traces.ns103.oracleGeneral.bin       S3FIFO_TIME_DELAY-0.1000-2 cache size     8693, 14600000 req, miss ratio 0.8306, byte miss ratio 0.8306
result/io_traces.ns103.oracleGeneral.bin       S3FIFO_TIME_DELAY-0.1000-2 cache size    26080, 14600000 req, miss ratio 0.8243, byte miss ratio 0.8243
result/io_traces.ns103.oracleGeneral.bin       S3FIFO_TIME_DELAY-0.1000-2 cache size    86934, 14600000 req, miss ratio 0.7978, byte miss ratio 0.7978
result/io_traces.ns103.oracleGeneral.bin       S3FIFO_TIME_DELAY-0.1000-2 cache size   260804, 14600000 req, miss ratio 0.7609, byte miss ratio 0.7609
result/io_traces.ns103.oracleGeneral.bin       S3FIFO_TIME_DELAY-0.1000-2 cache size   869348, 14600000 req, miss ratio 0.7545, byte miss ratio 0.7545
result/io_traces.ns103.oracleGeneral.bin       S3FIFO_TIME_DELAY-0.1000-2 cache size  1738696, 14600000 req, miss ratio 0.7500, byte miss ratio 0.7500
result/io_traces.ns103.oracleGeneral.bin       S3FIFO_TIME_DELAY-0.1000-2 cache size  3477392, 14600000 req, miss ratio 0.6968, byte miss ratio 0.6968
result/io_traces.ns103.oracleGeneral.bin       S3FIFO_TIME_DELAY-0.1000-2 cache size  6954784, 14600000 req, miss ratio 0.6575, byte miss ratio 0.6575
result/io_traces.ns103.oracleGeneral.bin                              LFU cache size     8693, 14600000 req, miss ratio 0.9913, byte miss ratio 0.9913
result/io_traces.ns103.oracleGeneral.bin                              LFU cache size    43467, 14600000 req, miss ratio 0.9809, byte miss ratio 0.9809
result/io_traces.ns103.oracleGeneral.bin                              LFU cache size    86934, 14600000 req, miss ratio 0.9552, byte miss ratio 0.9552
result/io_traces.ns103.oracleGeneral.bin                              LFU cache size   173869, 14600000 req, miss ratio 0.9063, byte miss ratio 0.9063
result/io_traces.ns103.oracleGeneral.bin                              LFU cache size   434674, 14600000 req, miss ratio 0.8261, byte miss ratio 0.8261
result/io_traces.ns103.oracleGeneral.bin                              LFU cache size   869348, 14600000 req, miss ratio 0.7700, byte miss ratio 0.7700
result/io_traces.ns103.oracleGeneral.bin                              LFU cache size  1738696, 14600000 req, miss ratio 0.7097, byte miss ratio 0.7097
result/io_traces.ns103.oracleGeneral.bin                              LFU cache size  3477392, 14600000 req, miss ratio 0.6500, byte miss ratio 0.6500
result/io_traces.ns103.oracleGeneral.bin             S3LFU-lfu-1-0.1000-1 cache size     8693, 14600000 req, miss ratio 0.8616, byte miss ratio 0.8616
result/io_traces.ns103.oracleGeneral.bin             S3LFU-lfu-1-0.1000-1 cache size    43467, 14600000 req, miss ratio 0.8194, byte miss ratio 0.8194
result/io_traces.ns103.oracleGeneral.bin             S3LFU-lfu-1-0.1000-1 cache size    86934, 14600000 req, miss ratio 0.7639, byte miss ratio 0.7639
result/io_traces.ns103.oracleGeneral.bin             S3LFU-lfu-1-0.1000-1 cache size   173869, 14600000 req, miss ratio 0.7341, byte miss ratio 0.7341
result/io_traces.ns103.oracleGeneral.bin             S3LFU-lfu-1-0.1000-1 cache size   434674, 14600000 req, miss ratio 0.7227, byte miss ratio 0.7227
result/io_traces.ns103.oracleGeneral.bin             S3LFU-lfu-1-0.1000-1 cache size   869348, 14600000 req, miss ratio 0.7150, byte miss ratio 0.7150
result/io_traces.ns103.oracleGeneral.bin             S3LFU-lfu-1-0.1000-1 cache size  1738696, 14600000 req, miss ratio 0.6956, byte miss ratio 0.6956
result/io_traces.ns103.oracleGeneral.bin             S3LFU-lfu-1-0.1000-1 cache size  3477392, 14600000 req, miss ratio 0.6502, byte miss ratio 0.6502
result/io_traces.ns103.oracleGeneral.bin        S3LFUFIFO-fifo-1-0.1000-1 cache size     8693, 14600000 req, miss ratio 0.8317, byte miss ratio 0.8317
result/io_traces.ns103.oracleGeneral.bin        S3LFUFIFO-fifo-1-0.1000-1 cache size    43467, 14600000 req, miss ratio 0.8200, byte miss ratio 0.8200
result/io_traces.ns103.oracleGeneral.bin        S3LFUFIFO-fifo-1-0.1000-1 cache size    86934, 14600000 req, miss ratio 0.7996, byte miss ratio 0.7996
result/io_traces.ns103.oracleGeneral.bin        S3LFUFIFO-fifo-1-0.1000-1 cache size   173869, 14600000 req, miss ratio 0.7725, byte miss ratio 0.7725
result/io_traces.ns103.oracleGeneral.bin        S3LFUFIFO-fifo-1-0.1000-1 cache size   434674, 14600000 req, miss ratio 0.7378, byte miss ratio 0.7378
result/io_traces.ns103.oracleGeneral.bin        S3LFUFIFO-fifo-1-0.1000-1 cache size   869348, 14600000 req, miss ratio 0.7202, byte miss ratio 0.7202
result/io_traces.ns103.oracleGeneral.bin        S3LFUFIFO-fifo-1-0.1000-1 cache size  1738696, 14600000 req, miss ratio 0.6998, byte miss ratio 0.6998
result/io_traces.ns103.oracleGeneral.bin        S3LFUFIFO-fifo-1-0.1000-1 cache size  3477392, 14600000 req, miss ratio 0.6502, byte miss ratio 0.6502
result/io_traces.ns103.oracleGeneral.bin              S3LRUlru-1-0.1000-2 cache size     8693, 14600000 req, miss ratio 0.8307, byte miss ratio 0.8307
result/io_traces.ns103.oracleGeneral.bin              S3LRUlru-1-0.1000-2 cache size    43467, 14600000 req, miss ratio 0.7611, byte miss ratio 0.7611
result/io_traces.ns103.oracleGeneral.bin              S3LRUlru-1-0.1000-2 cache size    86934, 14600000 req, miss ratio 0.7386, byte miss ratio 0.7386
result/io_traces.ns103.oracleGeneral.bin              S3LRUlru-1-0.1000-2 cache size   173869, 14600000 req, miss ratio 0.7330, byte miss ratio 0.7330
result/io_traces.ns103.oracleGeneral.bin              S3LRUlru-1-0.1000-2 cache size   434674, 14600000 req, miss ratio 0.7299, byte miss ratio 0.7299
result/io_traces.ns103.oracleGeneral.bin              S3LRUlru-1-0.1000-2 cache size   869348, 14600000 req, miss ratio 0.7282, byte miss ratio 0.7282
result/io_traces.ns103.oracleGeneral.bin              S3LRUlru-1-0.1000-2 cache size  1738696, 14600000 req, miss ratio 0.7062, byte miss ratio 0.7062
result/io_traces.ns103.oracleGeneral.bin              S3LRUlru-1-0.1000-2 cache size  3477392, 14600000 req, miss ratio 0.6548, byte miss ratio 0.6548
result/io_traces.ns103.oracleGeneral.bin        S3LFUFIFO-fifo-1-0.1000-1 cache size     8693, 14600000 req, miss ratio 0.8317, byte miss ratio 0.8317
result/io_traces.ns103.oracleGeneral.bin        S3LFUFIFO-fifo-1-0.1000-1 cache size    43467, 14600000 req, miss ratio 0.8200, byte miss ratio 0.8200
result/io_traces.ns103.oracleGeneral.bin        S3LFUFIFO-fifo-1-0.1000-1 cache size    86934, 14600000 req, miss ratio 0.7996, byte miss ratio 0.7996
result/io_traces.ns103.oracleGeneral.bin        S3LFUFIFO-fifo-1-0.1000-1 cache size   173869, 14600000 req, miss ratio 0.7725, byte miss ratio 0.7725
result/io_traces.ns103.oracleGeneral.bin        S3LFUFIFO-fifo-1-0.1000-1 cache size   434674, 14600000 req, miss ratio 0.7378, byte miss ratio 0.7378
result/io_traces.ns103.oracleGeneral.bin        S3LFUFIFO-fifo-1-0.1000-1 cache size   869348, 14600000 req, miss ratio 0.7202, byte miss ratio 0.7202
result/io_traces.ns103.oracleGeneral.bin        S3LFUFIFO-fifo-1-0.1000-1 cache size  1738696, 14600000 req, miss ratio 0.6998, byte miss ratio 0.6998
result/io_traces.ns103.oracleGeneral.bin        S3LFUFIFO-fifo-1-0.1000-1 cache size  3477392, 14600000 req, miss ratio 0.6502, byte miss ratio 0.6502
result/io_traces.ns103.oracleGeneral.bin                              LFU cache size     8693, 14600000 req, miss ratio 0.9913, byte miss ratio 0.9913
result/io_traces.ns103.oracleGeneral.bin                              LFU cache size    43467, 14600000 req, miss ratio 0.9809, byte miss ratio 0.9809
result/io_traces.ns103.oracleGeneral.bin                              LFU cache size    86934, 14600000 req, miss ratio 0.9552, byte miss ratio 0.9552
result/io_traces.ns103.oracleGeneral.bin                              LFU cache size   173869, 14600000 req, miss ratio 0.9063, byte miss ratio 0.9063
result/io_traces.ns103.oracleGeneral.bin                              LFU cache size   434674, 14600000 req, miss ratio 0.8261, byte miss ratio 0.8261
result/io_traces.ns103.oracleGeneral.bin                              LFU cache size   869348, 14600000 req, miss ratio 0.7700, byte miss ratio 0.7700
result/io_traces.ns103.oracleGeneral.bin                              LFU cache size  1738696, 14600000 req, miss ratio 0.7097, byte miss ratio 0.7097
result/io_traces.ns103.oracleGeneral.bin                              LFU cache size  3477392, 14600000 req, miss ratio 0.6500, byte miss ratio 0.6500
